CustomerID,Title,FirstName,MiddleName,LastName,Suffix,AddressLine1,AddressLine2,City,StateProvinceName,CountryRegionName,PostalCode,PhoneNumber,BirthDate,Education,Occupation,Gender,MaritalStatus,HomeOwnerFlag,NumberCarsOwned,NumberChildrenAtHome,TotalChildren,YearlyIncome,BikeBuyer
17403.0,,Molly,P,Lopez,,5509 Black Walnut,,Lille,Nord,France,59000,936-555-0166,1975-07-25,Partial College,Manual,F,S,0,2,0,3,77339.0,0
21337.0,,Ebony,A,Sanz,, 2829 Escobar Ave,,Lille,Nord,France,59000,148-555-0190,1952-01-27,Graduate Degree,Manual,F,M,1,0,0,1,84783.0,0
15895.0,,Rachel,M,Howard,,3867 Ferndale Lane,,Melbourne,Victoria,Australia,3000,497-555-0182,1958-12-04,Partial College,Clerical,F,M,0,2,0,2,79430.0,0
19683.0,,Louis,N,Zheng,,4368 Green Leaf Drive,,Paris,Seine (Paris),France,75007,855-555-0182,1971-07-09,Graduate Degree,Clerical,M,S,0,0,0,0,122350.0,0
20786.0,,Shawn,C,Tang,,9096 Stor Ave.,,Kassel,Hessen,Germany,34117,496-555-0113,1969-02-25,Bachelors ,Clerical,M,S,1,0,0,0,18673.0,1
22183.0,,Dylan,,Cai,,11095 Lomas Ave,,Cranbourne,Victoria,Australia,3977,314-555-0139,1943-06-17,Bachelors ,Professional,M,S,1,2,4,5,82887.0,1
28359.0,,Gilbert,,He,,622 Sudan Loop,,Saarlouis,Saarland,Germany,66740,112-555-0157,1973-11-28,Partial College,Professional,M,M,0,4,5,5,40351.0,1
19665.0,,Vincent,L,Zeng,,313 Mills Drive,,Essen,Hamburg,Germany,45001,385-555-0120,1958-09-22,Graduate Degree,Clerical,M,M,1,0,0,1,125609.0,0
18115.0,,Gloria,S,Rubio,,5474 Limewood Pl.,,Melbourne,Victoria,Australia,3000,131-555-0125,1966-06-12,Bachelors ,Professional,F,S,1,4,0,0,167781.0,1
19940.0,,Cara,M,Ye,,7684 Mt. Dell,,Saint-Denis,Seine Saint Denis,France,93400,1 (11) 500 555-0171,1975-10-19,Partial College,Manual,F,S,1,0,1,1,158722.0,0
12089.0,,Kelli,,Zeng,,537 Treat Blvd.,,South Melbourne,Victoria,Australia,3205,141-555-0151,1966-03-05,Bachelors ,Professional,F,S,0,4,0,0,60938.0,0
28772.0,,Kurt,,Andersen,,5002 Paramoor Drive,,Berlin,Nordrhein-Westfalen,Germany,14197,901-555-0152,1954-03-28,Bachelors ,Clerical,M,M,1,0,0,1,33696.0,0
18796.0,,Amanda,A,Blue,,5001 Broadgers Ave.,,Salzgitter,Hessen,Germany,38231,562-555-0148,1941-12-28,High School,Manual,F,S,0,1,0,0,22461.0,1
21350.0,,Caleb,,Alexander,,9032 St Paul Way,,Woodburn,Oregon,United States,97071,433-555-0118,1979-07-24,Graduate Degree,Management,M,S,0,2,2,2,58716.0,1
25430.0,,Dustin,D,Jai,,262 Willowwood Circle,,Croix,Nord,France,59170,855-555-0181,1960-12-22,High School,Manual,M,S,1,2,3,3,46153.0,1
13461.0,,Dawn,D,Xie,,2196 Claycord Ave.,,Bonn,Hamburg,Germany,53001,340-555-0177,1961-08-26,Partial College,Professional,F,M,1,1,2,4,58137.0,1
