CustomerID,Title,FirstName,MiddleName,LastName,Suffix,AddressLine1,AddressLine2,City,StateProvinceName,CountryRegionName,PostalCode,PhoneNumber,BirthDate,Education,Occupation,Gender,MaritalStatus,HomeOwnerFlag,NumberCarsOwned,NumberChildrenAtHome,TotalChildren,YearlyIncome,BikeBuyer
12880.0,,Andre,B,Martinez,,6058 Olivera,,Frankfurt,Hessen,Germany,60323,755-555-0132,1966-11-11,High School,Manual,M,S,1,1,1,0,43663,0
13860.0,,Alberto,,Romero,,3319 Eastgate,,Paris,Seine (Paris),France,75012,444-555-0141,1967-07-23,Bachelors ,Clerical,M,M,0,0,0,1,48802,0
25230.0,,Monique,,Sanz,,9436 Forte Way,,Saarlouis,Saarland,Germany,66740,580-555-0137,1957-10-18,High School,Manual,F,M,1,1,2,2,92046,0
18523.0,,Deanna,J,Lopez,,854 South Lake Court,,Frankfurt,Bayern,Germany,91480,722-555-0164,1951-08-14,Graduate Degree,Clerical,F,M,1,0,0,0,39723,0
12441.0,,Cassie,J,Pal,,4810 Julinget Place,,Erlangen,Bayern,Germany,91054,192-555-0176,1953-10-13,Bachelors ,Professional,F,M,0,0,0,0,88955,0
22894.0,,Katherine,,Suri,, Blue F Street,,Paris,Seine (Paris),France,75016,413-555-0132,1971-04-16,Partial College,Manual,F,S,0,0,1,1,14337,1
28054.0,,Seth,P,Robinson,,y Pepperidge Way,,Paris,Seine (Paris),France,75008,321-555-0178,1970-04-17,High School,Manual,M,S,0,1,0,0,36513,1
25992.0,,Bradley,J,Jai,,9754 Pacifica Ave,,Paris,Seine (Paris),France,75017,216-555-0174,1958-11-13,High School,Manual,M,S,0,1,0,0,86217,0
20005.0,,Megan,R,Cox,,63941 Sierra Road,,Paris,Seine (Paris),France,75016,505-555-0155,1965-07-04,High School,Manual,F,S,0,1,0,0,52205,1
29345.0,,Derek,J,She,,5296 Mcinson Street,,München,Hessen,Germany,80074,225-555-0129,1976-11-08,High School,Manual,M,S,0,1,0,0,39099,0
18055.0,,Hailey,M,Wilson,,7549 Star Drive,,Melton,Victoria,Australia,3337,338-555-0155,1957-12-07,Bachelors ,Professional,F,S,0,1,0,0,45670,0
26737.0,,Kendra,V,Ramos,,9589 Glenside Dr.,,Saarlouis,Saarland,Germany,66740,117-555-0152,1972-06-19,Graduate Degree,Clerical,F,M,1,0,0,3,54557,1
21795.0,,Javier,,Alvarez,,8371 Via Del Sol,,Paris,Seine (Paris),France,75013,136-555-0124,1972-03-23,Graduate Degree,Clerical,M,M,1,0,0,3,104630,0
16204.0,,Caroline,,Russell,,tre1 Vistarock Drive,,Portland,Oregon,United States,97205,606-555-0182,1958-11-26,Partial College,Professional,F,M,1,1,1,2,138848,0
15355.0,,Andy,,Vazquez,,5492 Castle Rock Road,,Essen,Hamburg,Germany,45001,122-555-0118,1970-06-23,Bachelors ,Clerical,M,M,0,0,0,0,85901,0
28606.0,,Savannah,,Reed,,8277 Yosemite Circle,,Les Ulis,Essonne,France,91940,123-555-0150,1971-06-15,High School,Manual,F,S,0,1,0,2,94070,1
15839.0,,Kaitlin,,Arun,,5261 Dalis Dr.,,Sunbury,Victoria,Australia,3429,458-555-0132,1961-07-08,Graduate Degree,Management,F,S,1,2,0,0,46739,0
12783.0,,Sean,A,Richardson,,2152 Trasher Road,,Lebanon,Oregon,United States,97355,768-555-0126,1972-01-16,Partial College,Professional,M,M,0,2,1,2,82099,0
11347.0,,Casey,,Diaz,,1005 Yosemite Ct,,Lebanon,Oregon,United States,97355,128-555-0119,1961-08-09,Graduate Degree,Management,M,M,1,2,0,5,43980,0
27011.0,,Patricw,S,Lal,,7222 Carcco Ct,,Lebanon,Oregon,United States,97355,758-555-0143,1957-01-26,Bachelors ,Professional,M,S,0,1,0,0,33331,0
26398.0,,Isabelle,M,Hughes,,6732 Fairingham Pl.,# Tremb,Saint-Denis,Seine Saint Denis,France,9400,863-555-0121,1954-05-14,Partial College,Clerical,F,M,1,1,0,1,59627,0
15871.0,,Jose,M,Alexander,,2517 Scottsdale Rd.,,Colma,California,United States,94014,726-555-0168,1960-06-13,Partial College,Clerical,M,M,1,1,0,1,115752,0
13135.0,,Edward,,Lewis,,7615 Brookstone Rd.,,Burbank,California,United States,91502,1 (11) 500 555-0116,1942-11-14,Partial College,Clerical,M,S,0,1,0,2,69639,0
22816.0,,Dawn,P,She,,8186 St. Germain Lane,# 247,Paderborn,Nordrhein-Westfalen,Germany,33098,1 (11) 500 555-0122,1973-11-03,High School,Manual,F,S,1,2,3,3,117835,1
11421.0,,Alex,,Cook,,Hunzinger Allee 292,,Goulburn,New South Wales,Australia,2580,1 (11) 500 555-0124,1952-03-24,Bachelors ,Professional,M,S,0,1,0,0,92090,1
12481.0,,Elijah,A,King,,Klara Straße 939,,W. Linn,Oregon,United States,97068,1 (11) 500 555-0114,1966-07-08,Partial College,Professional,M,S,0,2,0,0,20187,0
14064.0,,Elijah,K,Chen,,Heiderplatz 5111,,Milwaukie,Oregon,United States,97222,1 (11) 500 555-0134,1956-02-17,Partial College,Clerical,M,M,0,2,3,3,56618,0
27269.0,,Edwin,L,Raji,,7261 Mt. Everest Court,,Bottrop,Nordrhein-Westfalen,Germany,46236,805-555-0133,1972-03-13,High School,Manual,M,S,0,1,1,1,125879,0
14487.0,,Marcus,H,Cook,,ield Pleasant Hill Rd,,Glendale,California,United States,91203,344-555-0153,1933-11-20,Partial College,Professional,M,S,1,4,3,3,43687,1
17510.0,,Alexandra,,Flores,,8042 Climbing Place,,Burlingame,California,United States,94010,830-555-0160,1968-02-03,Partial College,Professional,F,S,1,1,0,1,108772,0
16104.0,,Louis,E,Chen,,3803 Hazelwood Lane,,Darlinghurst,New South Wales,Australia,2010,426-555-0176,1978-05-27,High School,Manual,M,M,1,0,1,1,116831,0
26470.0,,Jacqueline,,Cook,,3682 Serpentine,,Shawnee,British Columbia,Canada,V8Z 4N5,963-555-0198,1965-09-25,High School,Professional,F,M,1,2,0,4,41611,0
19932.0,,Patricia,L,Ashe,,4642 Seaview Dr.,,Matraville,New South Wales,Australia,2036,1 (11) 500 555-0150,1968-10-13,Bachelors ,Professional,F,S,0,1,2,2,116907,1
13185.0,,Harold,,Martinez,,2082 Blackmeil,,Rhodes,New South Wales,Australia,2138,1 (11) 500 555-0158,1946-07-19,Bachelors ,Management,M,S,0,4,1,4,116655,0
14155.0,,Larry,,Gill,, Peak Mt. Wilson Way,,Darmstadt,Hessen,Germany,64283,1 (11) 500 555-0123,1964-06-13,Bachelors ,Clerical,M,M,1,0,0,0,107207,0
14965.0,,Amanda,A,Mitchell,,3712 Heavenly Drive,,Woodburn,Oregon,United States,97071,1 (11) 500 555-0112,1972-09-10,Graduate Degree,Professional,F,M,1,0,0,2,39322,0
15175.0,,Jordyn,,Butler,,8727 Mt. Davidson Court,,Paderborn,Nordrhein-Westfalen,Germany,33098,1 (11) 500 555-0111,1959-07-16,Bachelors ,Manual,F,S,1,0,0,1,99937,1
24414.0,,Franklin,,Lin,,"94, rue Léo Delibes",,Versailles,Yveline,France,78000,1 (11) 500 555-0134,1966-02-09,Bachelors ,Skilled Manual,M,M,1,0,0,1,98031,0
27280.0,,Alyssa,A,Williams,,5068 Fall Way,,Lebanon,Oregon,United States,97355,549-555-0191,1959-04-04,Bachelors ,Professional,F,M,1,1,0,1,86169,0
21490.0,,Carla,A,Malhotra,,8942 Pineview Court,,Geelong,Victoria,Australia,3220,534-555-0152,1960-04-22,Bachelors ,Clerical,F,S,1,0,0,1,99592,0
24367.0,,Colleen,M,Tang,,6291 Black Pine Place,,Saint-Denis,Seine Saint Denis,France,93400,179-555-0174,1977-11-13,Partial High School,Manual,F,M,0,2,2,3,24575,0
