CustomerID,Title,FirstName,MiddleName,LastName,Suffix,AddressLine1,AddressLine2,City,StateProvinceName,CountryRegionName,PostalCode,PhoneNumber,BirthDate,Education,Occupation,Gender,MaritalStatus,HomeOwnerFlag,NumberCarsOwned,NumberChildrenAtHome,TotalChildren,YearlyIncome,BikeBuyer
23840,,Deanna,,Srini,,7798 Pierce,,Croix,Nord,France,59170,402-555-0182,1954-05-22,Partial College,Manual,F,M,1,1,1,1,194383.0,0
26727,,Andre,,Martinez,,4877 Wildberry Court,,Berlin,Saarland,Germany,14197,776-555-0137,1954-04-18,Partial College,Manual,M,M,1,0,0,1,88876.0,0
12529,,Pedro,B,Sai,,Attaché de Presse,,Roncq,Nord,France,59223,1 (11) 500 555-0140,1952-04-26,Bachelors ,Clerical,M,M,1,0,0,0,18270.0,0
15247,,Jon,,Chander,,7959 Mt. Washington Way,,Melbourne,Victoria,Australia,3000,1 (11) 500 555-0192,1964-06-17,Bachelors ,Professional,M,S,0,2,0,0,39310.0,0
26393,,Rosa,A,Liu,,7765 Golden Meadow Dr.,,Roubaix,Nord,France,59100,1 (11) 500 555-0114,1966-12-17,High School,Manual,F,S,0,1,1,1,92544.0,1
13086,,Kristin,D,Nara,,7575 Richard Place,,Lille,Nord,France,59000,321-555-0126,1974-11-23,Bachelors ,Clerical,F,M,1,0,0,0,95255.0,0
18983,,Dana,W,Martin,,413-555-017 Pine Creek Way,,Dunkerque,Nord,France,59140,744-555-0171,1975-01-07,Partial College,Clerical,F,M,0,1,0,0,78943.0,0
20641,,Cristina,N,She,,1949-04-0 Stallion Way,,Hamburg,Hamburg,Germany,20354,540-555-0197,1957-04-11,Bachelors ,Manual,F,M,1,0,0,1,82806.0,0
22060,,Robert,,Wang,,2496 Waterview Place,,Melton,Victoria,Australia,3337,557-555-0156,1949-05-14,High School,Skilled Manual,M,M,1,2,0,4,95074.0,0
27700,,Tina,,Perez,,4144 Rosly Drive,,Sunbury,Victoria,Australia,3429,127-555-0157,1975-05-22,Bachelors ,Professional,F,M,1,4,0,0,48778.0,0
13469,,Dalton,,Russell,,17460 Argnda Ct.,,Frankfurt,Hessen,Germany,60323,501-555-0171,1958-10-24,Partial College,Clerical,M,S,0,1,0,0,109256.0,0
11944,,Randy,M,Liu,,3396 Hacienda,,Croix,Nord,France,59170,119-555-0179,1945-09-24,Partial College,Manual,M,M,1,1,1,1,191471.0,1
15105,,Erin,L,Howard,,1401 Melne Way,,Geelong,Victoria,Australia,3220,242-555-0163,1968-11-15,Partial College,Manual,F,M,0,1,0,0,140613.0,0
18578,,Steve,M,Zhou,,2059 B Way,,Hamburg,Hamburg,Germany,20354,1 (11) 500 555-0149,1974-03-19,Graduate Degree,Clerical,M,M,1,0,0,3,60585.0,0
21023,,Robert,C,Alexander,,Kampstr 2777,,Sooke,British Columbia,Canada,V0,1 (11) 500 555-0164,1964-05-07,High School,Professional,M,M,0,2,0,2,53238.0,1
16703,,Roberto,,Munoz,,3936 Bell Dr.,,Salzgitter,Hessen,Germany,38231,353-555-0174,1958-11-03,High School,Manual,M,S,0,1,0,0,91045.0,0
28238,,Alexis,N,Harris,,98 Ellis Road,,Salem,Oregon,United States,97301,784-555-0129,1971-11-25,Bachelors ,Professional,F,S,0,1,0,0,95252.0,1
22482,,Riley,A,Cox,,6088 Clark Creek Lane,,München,Hessen,Germany,80074,383-555-0112,1968-04-19,Graduate Degree,Manual,F,M,1,0,0,0,61458.0,0
17389,,Chloe,H,Hill,,3115 Heavenly Drive,,Salem,Oregon,United States,97301,519-555-0137,1957-03-03,Partial College,Professional,F,S,1,2,3,4,86454.0,1
28810,,Gilbert,B,Sharma,,5144 Hightry Drive,,Mühlheim,Hamburg,Germany,63151,416-555-0122,1954-11-12,High School,Manual,M,S,1,1,1,1,32681.0,1
24443,,Warren,C,Nara,,486 A St.,,Metz,Moselle,France,57000,1 (11) 500 555-0177,1968-04-25,Partial High School,Manual,M,M,0,2,4,5,50447.0,1
25309,Ms.,Denmc,,Martin,,5436 Mariposa,# 19,Roubaix,Nord,France,59100,1 (11) 500 555-0162,1969-06-25,High School,Manual,M,S,0,1,1,1,82718.0,1
25703,,Jillian,,Lopez,,Rehstr 241,,Colombes,Hauts de Seine,France,92700,1 (11) 500 555-0176,1955-03-09,Partial College,Manual,F,S,0,0,2,2,33545.0,1
17289,,Christopher,,Smith,,2383 Vista Road,,W. Linn,Oregon,United States,97068,1 (11) 500 555-0154,1959-07-24,Partial College,Professional,M,S,1,2,0,0,147857.0,0
23683,,Tina,M,Subram,,2267 Elmonte Drive,,Frankfurt,Bayern,Germany,91480,161-555-0110,1950-10-12,Graduate Degree,Clerical,F,M,1,0,0,4,97822.0,0
18351,,Adam,J,Brown,,1954-09-2 Boxer Blvd.,,Sooke,British Columbia,Canada,V0,637-555-0150,1935-09-08,Graduate Degree,Professional,M,M,1,0,4,5,94363.0,0
28856,,Jésus,T,Blanco,,658-555-019 La Orinda Pl,,Paris,Seine (Paris),France,75003,631-555-0118,1964-07-06,Partial High School,Manual,M,S,0,2,0,0,98085.0,0
21581,,Kelvin,M,She,,3432 Rapallo Lane,,Perth,South Australia,Australia,6006,870-555-0126,1942-11-16,Bachelors ,Professional,M,S,0,3,5,5,80117.0,1
25541,,Nicole,L,Lewis,,"585, avenue de Villiers",,Sunbury,Victoria,Australia,3429,1 (11) 500 555-0146,1959-06-13,Bachelors ,Professional,F,S,1,3,0,0,24995.0,0
14083,,Chloe,M,Young,,"2, rue Saint Denis",,Berlin,Saarland,Germany,12311,1 (11) 500 555-0166,1948-09-19,Partial College,Professional,F,M,1,2,4,4,22062.0,1
19911,,Richard,J,Simmons,,1033 Birch Bark Road,,Beaverton,Oregon,United States,97005,1 (11) 500 555-0140,1951-09-09,High School,Professional,M,S,1,2,0,4,139389.0,0
24669,,Richard,,Phillips,,4119 Ricardo Dr.,,Haney,British Columbia,Canada,V2W 1W2,1 (11) 500 555-0137,1955-02-11,High School,Clerical,M,M,1,2,0,1,13570.0,0
24848,,Dana,,Rubio,,6359 Rouello Blvd.,,Darmstadt,Hessen,Germany,64283,1 (11) 500 555-0189,1955-03-02,Partial College,Clerical,F,S,0,1,0,0,129909.0,0
24134,,Jacquelyn,,Navarro,,Heiderweg 4982,,Oak Bay,British Columbia,Canada,V8P,1 (11) 500 555-0160,1947-06-23,High School,Professional,F,S,0,2,0,2,31380.0,0
22392,,Omar,L,Chen,,1561 Contra Costa Blvd.,,Orly,Val de Marne,France,94310,1 (11) 500 555-0124,1971-08-24,High School,Manual,M,S,1,1,3,3,18548.0,1
13923,,Cindy,,Srini,,3864 Logan Court,,Bottrop,Nordrhein-Westfalen,Germany,46236,1 (11) 500 555-0116,1947-12-25,Partial College,Clerical,F,S,1,1,0,0,132447.0,1
23427,,Faith,,Wood,,1874 Santa Barbara,,Hobart,Tasmania,Australia,7001,1 (11) 500 555-0121,1975-11-02,Partial High School,Clerical,F,M,1,2,1,2,142639.0,0
15363,,Connor,,Hill,,2802 San Simeon Place,,San Carlos,California,United States,94070,1 (11) 500 555-0165,1936-06-10,Bachelors ,Management,M,S,0,4,2,3,178510.0,1
14394,,Alexandra,A,Evans,,954-555-016 Hackzmore Lane,,Glendale,California,United States,91203,525-555-0169,1973-02-18,High School,Professional,F,S,1,2,2,2,98052.0,1
24280,,Faith,S,Alexander,,8249 Roslyn Drive,,Perth,South Australia,Australia,6006,557-555-0153,1969-05-01,Bachelors ,Professional,F,M,1,1,0,1,34166.0,0
12047,,Grace,,Clark,,9778 North 39th Street,,Bellingham,Washington,United States,98225,817-555-0127,1958-02-04,Graduate Degree,Management,F,S,0,3,2,2,49267.0,0
12107,,Trisha,,Kumar,,45 Zebra St.,,Villeneuve-d'Ascq,Nord,France,59491,127-555-0113,1959-04-12,Partial College,Manual,F,S,1,1,0,2,32782.0,0
27284,,Gary,,Rubio,,1976-10-1 Canyon Way,,Wollongong,New South Wales,Australia,2500,502-555-0189,1954-06-19,High School,Manual,M,S,1,0,1,1,97133.0,0
